switch_to_diplomacy_title;Embrace the Ideal of Diplomacy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,
switch_to_diplomacy_desc;The channels of power require an eye for detail, a fine touch, and a silver tongue. Let our people focus our energies into refining these qualities so we may be masters over those who are less.. refined.\n\nßYThe modifiers for this NV are:ßW\nßGDiplomatic Points Generation: +100%\nBase Influence Points Generation: +50%\nInfamy Decay Speed: +30%\nFaster CB Generation Speed: +50%ßW;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_education_title;Embrace the Ideal of Education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,
switch_to_education_desc;Our people must look forward, ignoring the wanton worries of our rivals. Wield logic and rationality to march forward!\n\nßYThe modifiers for this NV are:ßW\nßGEducation Efficiency: +35%\nCulture Tech Research Bonus: +5%ßW;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,
switch_to_order_title;Embrace the Ideal of Order;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,
switch_to_order_desc;The foreigners progress and dominate through an orderly and organized society, based on a sense of duty to their country. If we were to embrace this ideal, we might strive as they do.\n\nßYThe modifiers for this NV are:ßW\nßGOrganization Regain Rate: +10%\nLand Organisation: +5%\nNaval Organisation: +5%\nLeadership Points Gain: +75%\nSupply Consumption -5%\nSoldier Promotion Bonus: +10% (Scales with Military Spending)\nArmy Tech Research Bonus: +5%ßW;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_production_title;Embrace the Ideal of Productivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,
switch_to_production_desc;The foreigners progress through an industrious society based on hard work. If we were to embrace this ideal, we might progress as they do.\n\nßYThe modifiers for this NV are:ßW\nßGFactory Input: -5%\nFactory Output: +15%\nßGCommerce Tech Research Bonus: +15%\nIndustry Tech Research Bonus: +15%ßW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,
switch_to_autocracy_title;Embrace the Ideal of Autocracy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,
switch_to_autocracy_desc;The foreigners progress through a society based on strong leadership, obedience and loyalty. If we were to embrace this ideal, we might progress as they do.\n\nßYThe modifiers for this NV are:ßW\nßGRuling Party Support: +30%\nLeadership Modifier: +100%\nArmy Tech Research Bonus: +5%ßW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,
switch_to_equality_title;Embrace the Ideal of Equality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_equality_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of equality and social fairness above all else.\n\nßYThe modifiers for this NV are:ßW\nßGBonus Assimilation Rate: +50%\nCulture Tech Research Bonus: +5%ßW;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
switch_to_liberty_title;Embrace the Ideal of Exploitation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_liberty_desc;It is time for our nation to change the character of our people, to encourage them to consume and exploit the resources of the world to our benefit!\n\nßYThe modifiers for this NV are:ßW\nßGRGO Throughput: +10%\nFactory Input: -5%\nFactory Output: +5%ßW;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
nv_exploitation;Exploitation;LibertùEFreiheit;;Libertad;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,
nv_diplomacy;Diplomacy;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,
nv_education;Education;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,
